First name;Number;First name (< 18);Number of carriers (< 18);First name (18-64);Number of carriers (18-64);First name (65+);Number of carriers (65+)
"""Sami""";528;"""Gilles""";123;"""Frank""";346;"""Augustin""";36
"""Jorge""";423;"""Alessio""";101;"""Abdelmajid""";280;"""Jaak""";28
"""Bertrand""";359;"""Semih""";88;"""Stephan""";224;"""Sergio""";22
"""Jason""";276;"""Constantin""";69;"""Filip""";174;"""Ahmida""";15
"""Bart""";273;"""Kerem""";68;"""Osman""";172;"""Bouchaib""";15
"""Soufian""";254;"""Nathanaël""";63;"""Carlo""";156;"""Moussa""";14
"""Lukasz""";246;"""Andrea""";61;"""Jacek""";151;"""Ignazio""";13
"""Tiago""";240;"""Hakan""";60;"""Najib""";148;"""Maximilien""";13
"""Javier""";239;"""Naoufal""";60;"""Abdelouahid""";146;"""Nicolaos""";13
"""Daoud""";207;"""Saber""";53;"""Lucien""";126;"""Jack""";11
"""Johannes""";174;"""Mahdi""";43;"""Karol""";105;"""Jean-Marc""";9
"""Stanislaw""";174;"""Brayan""";42;"""Yasin""";105;"""Lahoussine""";9
"""Matthew""";172;"""Otman""";42;"""Alfonso""";102;"""Renato""";9
"""Khaled""";170;"""Artur""";41;"""Norbert""";101;"""Thanh""";9
"""Edward""";167;"""Batuhan""";40;"""Tristan""";99;"""Alexandros""";8
"""Milan""";148;"""Ishak""";36;"""Jaime""";89;"""Abdel""";7
"""Petru""";145;"""Enis""";35;"""Faouzi""";85;"""Elias""";7
"""Nuno""";142;"""Stanislas""";35;"""Colin""";83;"""Gian""";7
"""Luciano""";126;"""Samet""";32;"""Andres""";75;"""Aïssa""";6
"""Hector""";125;"""Thibaud""";32;"""Malik""";75;"""Alami""";6
"""François-Xavier""";122;"""Théophile""";31;"""Morgan""";73;"""Belkacem""";6
"""Yunus""";122;"""Titouan""";31;"""Chaib""";72;"""Benoît""";6
"""Lucian""";89;"""Andres""";22;"""Fadi""";53;"""Oswald""";5
"""Ignacio""";88;"""Edmond""";22;"""Marouane""";53;"""Quang""";5
"""Pasquale""";74;"""Serdar""";19;"""Hussain""";46;;
"""Chris""";73;"""Abdessalam""";18;"""Benyounes""";45;;
"""Orlando""";65;"""Celal""";16;"""Rodrigue""";41;;
"""Abdelhalim""";63;"""Jon""";16;"""Nouredine""";40;;
"""Teodor""";63;"""Souheil""";16;"""Dries""";39;;
"""Marko""";61;"""Erick""";15;"""Ilker""";38;;
"""Nader""";60;"""Lamine""";15;"""Lahoucine""";37;;
"""Owen""";60;"""Loïck""";15;"""Lamine""";37;;
"""Razvan""";60;"""Loqman""";15;"""Petr""";37;;
"""Theo""";58;"""Azeddine""";14;"""Mariano""";35;;
"""Bouchaib""";56;"""Giuliano""";14;"""Harry""";34;;
"""Yahia""";56;"""Nico""";14;"""Wissam""";34;;
"""Rodrigue""";55;"""Sohail""";14;"""Leo""";33;;
"""Hossain""";49;"""Elio""";12;"""Rabie""";30;;
"""Avni""";47;"""Mamoudou""";12;"""Ruslan""";29;;
"""Singh""";47;"""Sahin""";12;"""Leopold""";28;;
"""Mohsin""";44;"""Hichem""";11;"""Hoang""";26;;
"""Stanislav""";43;"""Miles""";11;"""Abdelmjid""";25;;
"""Athanassios""";42;"""Nessim""";11;"""Bjorn""";25;;
"""Prosper""";42;"""Samuele""";11;"""Helder""";25;;
"""Nurettin""";41;"""Ayaan""";10;"""Ziad""";25;;
"""Adolfo""";39;"""Jassim""";10;"""Noreddine""";24;;
"""Sezgin""";39;"""Loay""";10;"""Vasilios""";24;;
"""Jalil""";38;"""Ninos""";10;"""Khalifa""";23;;
"""Scott""";38;"""Ronald""";10;"""Okan""";23;;
"""Hammou""";36;"""Abdou""";9;"""Houssine""";22;;
"""Hilal""";35;"""Eloi""";9;"""Cristiano""";21;;
"""Michiel""";35;"""Houdeyfa""";9;"""Fouzi""";21;;
"""Ralf""";35;"""Ionel""";9;"""Gordon""";21;;
"""Calin""";33;"""Nassime""";9;"""Umut""";21;;
"""Nazmi""";33;"""Tawfiq""";9;"""Borislav""";20;;
"""Malcolm""";32;"""Charalampos""";8;"""Tigran""";20;;
"""Stanley""";32;"""Elohim""";8;"""Alfons""";19;;
"""Frédérick""";31;"""Ismet""";8;"""Horacio""";19;;
"""Komi""";31;"""Joffrey""";8;"""Mouhssine""";19;;
"""Riza""";31;"""Markos""";8;"""Abdourahamane""";18;;
"""Sait""";30;"""Teddy""";8;"""Kreshnik""";18;;
"""Luís""";29;"""Andoni""";7;"""Yong""";18;;
"""Brendan""";28;"""Daryl""";7;"""Fehmi""";17;;
"""Haytham""";27;"""Matthis""";7;"""Andriy""";16;;
"""Solomon""";27;"""Nicolaos""";7;"""Erdinch""";16;;
"""Gunther""";26;"""Samson""";7;"""Mattia""";16;;
"""Touhami""";26;"""Toufik""";7;"""Samuël""";16;;
"""Boualem""";25;"""Yazan""";7;"""Yasir""";16;;
"""Monaim""";5;;;;;;
"""Moslim""";5;;;;;;
"""Nedzhat""";5;;;;;;
"""Ossi""";5;;;;;;
"""Pepijn""";5;;;;;;
"""Plamedi""";5;;;;;;
"""Rron""";5;;;;;;
"""Sameer""";5;;;;;;
"""Vicky""";5;;;;;;
"""Youssuf""";5;;;;;;
"""Yukihiro""";5;;;;;;
"""Zacaria""";5;;;;;;
"""Zana""";5;;;;;;
"""Mykhaylo""";5;;;;;;
"""Oubaida""";5;;;;;;
"""Prashant""";5;;;;;;
"""Ramis""";5;;;;;;
"""Sezai""";5;;;;;;
"""Vasili""";5;;;;;;
"""Vasilis""";5;;;;;;
"""Yaman""";5;;;;;;
"""Zsombor""";5;;;;;;
"""Ahmed""";4055;"""Hamza""";891;"""Olivier""";3345;"""Mohamed""";1250
"""Kevin""";1466;"""Anthony""";322;"""Dominique""";842;"""Hubert""";160
"""Francis""";1217;"""Ethan""";266;"""Bilal""";740;"""John""";113
"""Said""";1106;"""Mamadou""";251;"""Benoît""";699;"""Mimoun""";97
"""Anthony""";931;"""Salim""";199;"""Mostafa""";564;"""Juan""";77
"""Adil""";726;"""Liam""";150;"""Samuel""";463;"""Dominique""";56
"""Maurice""";710;"""Rafael""";147;"""Marcel""";449;"""Mokhtar""";56
"""Miguel""";640;"""Mathis""";142;"""Adil""";427;"""Laurent""";51
"""Mario""";526;"""Marouane""";123;"""Roberto""";345;"""Gerard""";36
"""Ismaël""";463;"""Robert""";114;"""M'hamed""";312;"""James""";32
"""Jean-Luc""";382;"""Brandon""";93;"""Artur""";242;"""Miloud""";24
"""Reda""";368;"""Abderrahmane""";89;"""Abdelhafid""";232;"""Pascal""";23
"""Florin""";362;"""Othman""";89;"""Abdelkrim""";225;"""Nicola""";22
"""Redouane""";355;"""Amaury""";87;"""Boris""";220;"""Carl""";21
"""Filip""";310;"""Nolan""";81;"""Muhammad""";196;"""Félicien""";18
"""Ahmad""";285;"""Zakariya""";72;"""Jean-Christophe""";177;"""Johnny""";16
"""Pieter""";285;"""Ivan""";71;"""Amaury""";176;"""Lambert""";16
"""Noé""";213;"""Cristian""";53;"""Sofiane""";130;"""Claudio""";11
"""Tarek""";192;"""Maher""";49;"""Wieslaw""";115;"""Franklin""";10
"""Kenan""";178;"""Naoufel""";44;"""Lotfi""";108;"""Bouziane""";9
"""Willem""";147;"""Sajid""";36;"""Fayçal""";88;"""Arif""";7
"""Patryk""";136;"""Karl""";33;"""Herman""";79;"""Mezian""";7
"""Jaime""";113;"""Arsène""";28;"""Costel""";65;"""Marcus""";6
"""Werner""";113;"""Cyprien""";28;"""Marcus""";65;"""Mathias""";6
"""Stéphan""";111;"""Serhat""";28;"""Othmane""";64;"""Murat""";6
"""Filipe""";103;"""Octave""";26;"""Yvon""";61;"""Alejandro""";5
"""Maher""";90;"""Timur""";23;"""Aleksandar""";53;"""Miodrag""";5
"""Charly""";88;"""Cedric""";22;"""Laszlo""";53;"""Pier""";5
"""Laszlo""";88;"""Houdaifa""";22;"""Minh""";53;"""Raimondo""";5
"""Abdil""";84;"""Sedat""";22;"""Jacob""";52;"""Yakup""";5
"""Arnold""";84;"""Teodor""";22;"""Syed""";52;;
"""Zayd""";84;"""Dumitru""";21;"""Abdellaziz""";51;;
"""Antony""";81;"""Kristian""";21;"""Simone""";51;;
"""Laurentiu""";71;"""Loan""";18;"""Bartosz""";44;;
"""Abdelbasset""";6;;;;;;
"""Amid""";6;;;;;;
"""Arie""";6;;;;;;
"""Arik""";6;;;;;;
"""Aubert""";6;;;;;;
"""Avdula""";6;;;;;;
"""Beqir""";6;;;;;;
"""Charlélie""";6;;;;;;
"""Dacian""";6;;;;;;
"""Errol""";6;;;;;;
"""Eulogio""";6;;;;;;
"""Gust""";6;;;;;;
"""Hamlet""";6;;;;;;
"""Hosam""";6;;;;;;
"""Ilja""";6;;;;;;
"""Ilyès""";6;;;;;;
"""Kolja""";6;;;;;;
"""Laté""";6;;;;;;
"""Leutrim""";6;;;;;;
"""Lyonel""";6;;;;;;
"""Medhy""";6;;;;;;
"""Raffaello""";6;;;;;;
"""Reimond""";6;;;;;;
"""Shin""";6;;;;;;
"""Tuna""";6;;;;;;
"""Yuan""";6;;;;;;
"""Adlan""";5;;;;;;
"""Amrit""";5;;;;;;
"""Arnd""";5;;;;;;
"""Asdin""";5;;;;;;
"""Balbino""";5;;;;;;
"""Dalip""";5;;;;;;
"""Dirar""";5;;;;;;
"""Doan""";5;;;;;;
"""Egied""";5;;;;;;
"""Erdovan""";5;;;;;;
"""Ermin""";5;;;;;;
"""Fadhel""";5;;;;;;
"""Floriano""";5;;;;;;
"""Fortuné""";5;;;;;;
"""Gigel""";5;;;;;;
"""Ilario""";5;;;;;;
"""Inan""";5;;;;;;
"""Iordanis""";5;;;;;;
"""Iskander""";5;;;;;;
"""Jahangir""";5;;;;;;
"""Jeffry""";5;;;;;;
"""Koichi""";5;;;;;;
"""L'""";5;;;;;;
"""Lek""";5;;;;;;
"""Maëlan""";5;;;;;;
"""Mosaab""";5;;;;;;
"""Slavko""";5;;;;;;
"""Teun""";5;;;;;;
"""Zion""";5;;;;;;
"""Sasha""";68;"""Habib""";17;"""Leandro""";42;;
"""Jacky""";63;"""Pierre-Alexandre""";16;"""Arturo""";39;;
"""Silvio""";62;"""Amos""";15;"""Remzi""";39;;
"""Romeo""";58;"""Arne""";14;"""Josef""";35;;
"""Frederick""";54;"""Alae""";13;"""Smaïl""";33;;
"""Sergey""";53;"""Gianluca""";13;"""Salaheddine""";32;;
"""Nihat""";52;"""Majid""";13;"""Kaddour""";31;;
"""M'barek""";50;"""Arnold""";12;"""Gregorio""";30;;
"""Mirko""";49;"""Frederick""";12;"""Ayman""";29;;
"""Petrica""";47;"""Redwane""";12;"""Farouk""";28;;
"""Anh""";46;"""Wojciech""";12;"""Ugo""";28;;
"""Kristian""";41;"""Alistair""";10;"""Semih""";25;;
"""Roméo""";41;"""Aymene""";10;"""Abdelhay""";24;;
"""Umit""";41;"""Charaf""";10;"""Aristide""";24;;
"""Ardian""";40;"""Dawoud""";10;"""Boujamaa""";24;;
"""Barry""";36;"""Abdelghani""";9;"""Eyüp""";22;;
"""Stelian""";33;"""Yasir""";9;"""Flavien""";20;;
"""Nadim""";32;"""Daniil""";8;"""Touhami""";20;;
"""Baran""";31;"""Giulian""";8;"""Dris""";19;;
"""Ossama""";31;"""Mahad""";8;"""Wahid""";19;;
"""Craig""";30;"""Omid""";8;"""Chaouki""";18;;
"""Narek""";29;"""Azdin""";7;"""Amit""";17;;
"""Marcio""";28;"""Glody""";7;"""Lazar""";17;;
"""Houdaifa""";27;"""Micah""";7;"""Ara""";16;;
"""Pierrot""";27;"""Muhsin""";7;"""Cong""";16;;
"""Diederik""";26;"""Ridouan""";7;"""Jesse""";16;;
"""Ertugrul""";26;"""Ritchie""";7;"""Klaas""";16;;
"""Ferenc""";26;"""Saifeddine""";7;"""Levente""";16;;
"""Boujamaa""";24;"""Driton""";6;"""Marie""";15;;
"""Sotirios""";24;"""Ianis""";6;"""Abdelmounaïm""";14;;
"""Rik""";22;"""Soulaymen""";6;"""Armend""";13;;
"""Corrado""";21;"""Zaccharia""";6;"""Godefroid""";13;;
"""Taher""";21;"""Anoir""";5;"""Nadeem""";13;;
"""Almir""";20;"""Augusto""";5;"""Raouf""";13;;
"""Ayan""";20;"""Barack""";5;"""Souhaib""";13;;
"""Duarte""";20;"""Borys""";5;"""Valeriy""";13;;
"""Faïssal""";20;"""Cas""";5;"""Willian""";13;;
"""Finn""";20;"""Cassius""";5;"""Yanick""";13;;
"""Matisse""";20;"""Egemen""";5;"""Bagdad""";12;;
"""Mouhssine""";20;"""Emanuele""";5;"""Bechir""";12;;
"""Bashir""";19;"""Granit""";5;"""Halid""";12;;
"""Gyunay""";19;"""Islem""";5;"""Leopoldo""";12;;
"""Sevgin""";19;"""Lazare""";5;"""Sahid""";12;;
"""Yong""";19;"""Maddox""";5;"""Thorsten""";12;;
"""Jean-Bosco""";18;"""Nikolai""";5;"""Barthélémy""";11;;
"""Larry""";18;"""Noor""";5;"""Cesare""";11;;
"""Audry""";17;"""Sulaiman""";5;"""Liborio""";11;;
"""Patrizio""";17;;;"""Spiridon""";11;;
"""Fahad""";16;;;"""Cihat""";10;;
"""Hoummad""";16;;;"""Emmanuël""";10;;
"""Kamiel""";16;;;"""Faical""";10;;
"""Kastriot""";16;;;"""Faiz""";10;;
"""Sulayman""";16;;;"""Kyle""";10;;
"""Christof""";15;;;"""Ozgür""";10;;
"""Ousman""";15;;;"""Azdine""";9;;
"""Akbar""";14;;;"""Elliott""";9;;
"""Ewan""";14;;;"""Juha""";9;;
"""Abbes""";13;;;"""Rüstü""";9;;
"""Blendi""";13;;;"""Taib""";9;;
"""Taylor""";13;;;"""Fábio""";8;;
"""Costin""";12;;;"""Léandre""";8;;
"""Glen""";12;;;"""Mykola""";8;;
"""Iouri""";12;;;"""Oskar""";8;;
"""Laid""";12;;;"""Rustam""";8;;
"""Loay""";12;;;"""Sahbi""";8;;
"""Shayan""";12;;;"""Abdalla""";7;;
"""Tugrul""";12;;;"""Abdelouahhab""";7;;
"""Yousaf""";12;;;"""Achilleas""";7;;
"""Aymene""";11;;;"""Basil""";7;;
"""Beniamino""";11;;;"""Bennasar""";7;;
"""Edmundo""";11;;;"""Cipriano""";7;;
"""Madani""";11;;;"""Hiroaki""";7;;
"""Ventsislav""";11;;;"""Mathew""";7;;
"""Abdel-Karim""";10;;;"""Nagi""";7;;
"""Abdurahman""";10;;;"""Niculae""";7;;
"""Ashley""";10;;;"""Pierre-Luc""";7;;
"""Avi""";10;;;"""Pradeep""";7;;
"""Edon""";10;;;"""Sukru""";7;;
"""Jéremy""";10;;;"""Abdelkhalik""";6;;
"""Kaloyan""";10;;;"""Abdül""";6;;
"""Mian""";10;;;"""Alistair""";6;;
"""Nagim""";10;;;"""Antranik""";6;;
"""Nam""";10;;;"""Anuar""";6;;
"""Ragip""";10;;;"""Balwinder""";6;;
"""Rory""";10;;;"""Betim""";6;;
"""Sorinel""";10;;;"""Chandra""";6;;
"""Efraim""";9;;;"""Jarl""";6;;
"""Günther""";9;;;"""Krysztof""";6;;
"""Iustin""";9;;;"""Lutz""";6;;
"""Kimon""";9;;;"""Maximino""";6;;
"""Ky""";9;;;"""Menno""";6;;
"""Salifou""";9;;;"""Rajinder""";6;;
"""Tatsuya""";9;;;"""Samuele""";6;;
"""Xhevat""";9;;;"""Silvério""";6;;
"""Antranik""";8;;;"""Yogesh""";6;;
"""Arbnor""";8;;;"""Zdravko""";6;;
"""Gill""";8;;;"""Bartolomeo""";5;;
"""Hagop""";8;;;"""Bouabdellah""";5;;
"""Kristoffer""";8;;;"""Dzevat""";5;;
"""Ramzan""";8;;;"""Hyacinthe""";5;;
"""Roby""";8;;;"""Icham""";5;;
"""Saip""";8;;;"""Iuliu""";5;;
"""Surinder""";8;;;"""Kaled""";5;;
"""Tomor""";8;;;"""Kevork""";5;;
"""Yuki""";8;;;"""Lev""";5;;
"""Zyed""";8;;;"""Lluis""";5;;
"""Abdessalem""";7;;;"""Manoël""";5;;
"""Adamo""";7;;;"""Mathijs""";5;;
"""Andrian""";7;;;"""Mikkel""";5;;
"""Arbër""";7;;;"""Montasser""";5;;
"""Arezki""";7;;;"""Moumen""";5;;
"""Asher""";7;;;"""Nafiz""";5;;
"""Assem""";7;;;"""Namik""";5;;
"""Baljit""";7;;;"""Nedzhatin""";5;;
"""Besmir""";7;;;"""Nouh""";5;;
"""Bijan""";7;;;"""Nouraddine""";5;;
"""Corto""";7;;;"""Petrut""";5;;
"""Dzevat""";7;;;"""Rabia""";5;;
"""Efekan""";7;;;"""Raffi""";5;;
"""Fulvio""";7;;;"""Romaric""";5;;
"""Girolamo""";7;;;"""Rustem""";5;;
"""Kalman""";7;;;"""Ted""";5;;
"""Labinot""";7;;;"""Vaclav""";5;;
"""Lal""";7;;;"""Václav""";5;;
"""Lasse""";7;;;"""Vanderlei""";5;;
"""Lokmane""";7;;;"""Vicky""";5;;
"""Romualdo""";7;;;;;;
"""Stiven""";7;;;;;;
"""Thimothée""";7;;;;;;
"""Toufic""";7;;;;;;
"""Tsering""";7;;;;;;
"""Vahan""";7;;;;;;
"""Vasilica""";7;;;;;;
"""Wenceslas""";7;;;;;;
"""Zakariyae""";7;;;;;;
"""Abdelati""";6;;;;;;
"""Aftab""";6;;;;;;
"""Avtandil""";6;;;;;;
"""Baha""";6;;;;;;
"""Baker""";6;;;;;;
"""Buu""";6;;;;;;
"""Diamantis""";6;;;;;;
"""Emrick""";6;;;;;;
"""Igors""";6;;;;;;
"""Kazuhiro""";6;;;;;;
"""Mahamane""";6;;;;;;
"""Necmi""";6;;;;;;
"""Nor""";6;;;;;;
"""Orlin""";6;;;;;;
"""Sefki""";6;;;;;;
"""Talel""";6;;;;;;
"""Théoneste""";6;;;;;;
"""Thiên""";6;;;;;;
"""Uros""";6;;;;;;
"""Yanisse""";6;;;;;;
"""Yogesh""";6;;;;;;
"""Alaattin""";5;;;;;;
"""Amil""";5;;;;;;
"""Amram""";5;;;;;;
"""Ashutosh""";5;;;;;;
"""Benigno""";5;;;;;;
"""Benyounès""";5;;;;;;
"""Casian""";5;;;;;;
"""Cheikhou""";5;;;;;;
"""Diyar""";5;;;;;;
"""Efraïm""";5;;;;;;
"""Eladio""";5;;;;;;
"""Ferhan""";5;;;;;;
"""Ferruccio""";5;;;;;;
"""Grégori""";5;;;;;;
"""Hayrullah""";5;;;;;;
"""Hideo""";5;;;;;;
"""Hommad""";5;;;;;;
"""Ivar""";5;;;;;;
"""Kabongo""";5;;;;;;
"""Karthik""";5;;;;;;
"""Hélder""";24;"""Fevzi""";6;"""Reinaldo""";15;;
"""Houari""";24;"""Fikri""";6;"""Sabit""";15;;
"""Badr-Eddine""";23;"""Jonatan""";6;"""Célestin""";14;;
"""Beytullah""";23;"""Joy""";6;"""Clemens""";14;;
"""Salahdine""";23;"""Mehdy""";6;"""Mamadu""";14;;
"""Charbel""";22;"""Qassim""";6;"""Serhat""";14;;
"""Orazio""";22;"""Shane""";6;"""Ales""";13;;
"""Saif""";22;"""Stelian""";6;"""Arnout""";13;;
"""Yohann""";22;"""Unai""";6;"""Denys""";13;;
"""Boumediene""";21;"""Yu""";6;"""Ghazi""";13;;
"""Holger""";21;"""Abdelwadoud""";5;"""Jafar""";13;;
"""Mohamedi""";21;"""Aimane""";5;"""Larry""";13;;
"""Petrit""";21;"""Alae-Eddine""";5;"""Makoto""";13;;
"""Anes""";20;"""Ayaz""";5;"""Romulus""";13;;
"""Fahri""";20;"""Camron""";5;"""Volker""";13;;
"""Kader""";20;"""Dayan""";5;"""Anatolie""";12;;
"""Nusret""";19;"""Kolia""";5;"""Petro""";12;;
"""Jallal""";18;"""Niccolo""";5;"""Barnabé""";11;;
"""Lorik""";18;"""Orson""";5;"""Dani""";11;;
"""Rene""";18;"""Qendrim""";5;"""Evan""";11;;
"""Wahil""";18;"""Sadik""";5;"""Hédi""";11;;
"""Yao""";18;"""Samvel""";5;"""Ilya""";11;;
"""Atakan""";17;"""Soufyane""";5;"""Lech""";11;;
"""Nicolaie""";17;;;"""Skander""";11;;
"""Sherif""";17;;;"""Zakarya""";11;;
"""Alexi""";16;;;"""Arshad""";10;;
"""Lajos""";16;;;"""Flamur""";10;;
"""László""";16;;;"""Fouâd""";10;;
"""Rüstü""";16;;;"""Jean-Manuel""";10;;
"""Jeronimo""";15;;;"""Veselin""";10;;
"""Louis-Philippe""";15;;;"""Abdourahmane""";9;;
"""Nagib""";15;;;"""Arjan""";9;;
"""Slobodan""";15;;;"""Bouzid""";9;;
"""Steeve""";15;;;"""Cateno""";9;;
"""Achim""";14;;;"""Dong""";9;;
"""Demba""";14;;;"""Jacopo""";9;;
"""Elian""";14;;;"""Joannes""";9;;
"""Evren""";14;;;"""Józef""";9;;
"""Hachem""";14;;;"""Ky""";9;;
"""Naci""";14;;;"""Nguyen""";9;;
"""Norberto""";14;;;"""Ondrej""";9;;
"""Serafettin""";14;;;"""Reduan""";9;;
"""Thierri""";14;;;"""Reyhan""";9;;
"""Abdennacer""";13;;;"""Salahdin""";9;;
"""Amani""";13;;;"""Sebahattin""";9;;
"""Arnout""";13;;;"""Seyit""";9;;
"""Hecham""";13;;;"""Abderrazek""";8;;
"""Simao""";13;;;"""Elyes""";8;;
"""Ahmadou""";12;;;"""Harri""";8;;
"""Cumali""";12;;;"""Lennart""";8;;
"""Gelu""";12;;;"""Moreno""";8;;
"""Javad""";12;;;"""Rahmi""";8;;
"""Martins""";12;;;"""Savvas""";8;;
"""Mihnea""";12;;;"""Seyfettin""";8;;
"""Moloud""";12;;;"""Shpetim""";8;;
"""Pharell""";12;;;"""Vahid""";8;;
"""Raif""";12;;;"""Vivek""";8;;
"""Robby""";12;;;"""Xhelal""";8;;
"""Dion""";11;;;"""Charles-Henry""";7;;
"""Glody""";11;;;"""Erkin""";7;;
"""Iwan""";11;;;"""Frédérik""";7;;
"""Jésus""";11;;;"""Gegham""";7;;
"""Josias""";11;;;"""Geoffray""";7;;
"""Rosen""";11;;;"""Khamis""";7;;
"""Sadou""";11;;;"""Kurtulus""";7;;
"""Acacio""";10;;;"""Nikolaas""";7;;
"""Jean-Christian""";10;;;"""Abass""";6;;
"""Karsten""";10;;;"""Adalbert""";6;;
"""Kornel""";10;;;"""Adolf""";6;;
"""Lassaad""";10;;;"""Agon""";6;;
"""Ludwik""";10;;;"""Alae-Eddine""";6;;
"""Lütfi""";10;;;"""Alasdair""";6;;
"""Nassime""";10;;;"""Ararat""";6;;
"""Saïf-Eddine""";10;;;"""Borja""";6;;
"""Sergi""";10;;;"""Camal""";6;;
"""Wellington""";10;;;"""Dzhengiz""";6;;
"""Baudoin""";9;;;"""Habibullah""";6;;
"""Demetre""";9;;;"""Iñigo""";6;;
"""Iñaki""";9;;;"""Lewis""";6;;
"""Saifeddine""";9;;;"""Rachide""";6;;
"""Serges""";9;;;"""Rashad""";6;;
"""Travis""";9;;;"""Satoru""";6;;
"""Atdhe""";8;;;"""Zouhaier""";6;;
"""Bartolomeo""";8;;;"""Abdelmagid""";5;;
"""Efthymios""";8;;;"""Alcides""";5;;
"""Gaylord""";8;;;"""Avram""";5;;
"""Gjovalin""";8;;;"""Béchir""";5;;
"""Josip""";8;;;"""Comlan""";5;;
"""Kahraman""";8;;;"""Da""";5;;
"""Lahssen""";8;;;"""Eduart""";5;;
"""Lhoucine""";8;;;"""Egidio""";5;;
"""Mansoor""";8;;;"""Faraj""";5;;
"""Marcellino""";8;;;"""Faraz""";5;;
"""Sevki""";8;;;"""Jeffery""";5;;
"""Wacil""";8;;;"""Krikor""";5;;
"""Amado""";7;;;"""Mher""";5;;
"""Bailo""";7;;;"""Nedzhat""";5;;
"""Bobo""";7;;;"""Oliviero""";5;;
"""Cormac""";7;;;"""Pero""";5;;
"""Egidio""";7;;;"""Rafique""";5;;
"""Farzad""";7;;;"""Riaz""";5;;
"""Fekri""";7;;;"""Rinaldo""";5;;
"""Galin""";7;;;"""Romualdo""";5;;
"""Georgiy""";7;;;"""Rostand""";5;;
"""Gianmarco""";7;;;"""Rufat""";5;;
"""Gorka""";7;;;"""Sabino""";5;;
"""Gus""";7;;;"""Sahli""";5;;
"""Mikhael""";7;;;"""Zamfir""";5;;
"""Payam""";7;;;;;;
"""Sefedin""";7;;;;;;
"""Tito""";7;;;;;;
"""Vahram""";7;;;;;;
"""Zein""";7;;;;;;
"""Zeyad""";7;;;;;;
"""Abdelmaoula""";6;;;;;;
"""Agatino""";6;;;;;;
"""Aref""";6;;;;;;
"""Armenak""";6;;;;;;
"""Baby""";6;;;;;;
"""Bohdan""";6;;;;;;
"""Chandra""";6;;;;;;
"""Endri""";6;;;;;;
"""Fintan""";6;;;;;;
"""Guillem""";6;;;;;;
"""Hiroki""";6;;;;;;
"""Hossaine""";6;;;;;;
"""Hovsep""";6;;;;;;
"""Huynh""";6;;;;;;
"""Ilkan""";6;;;;;;
"""Issaga""";6;;;;;;
"""Jernej""";6;;;;;;
"""Jhonatan""";6;;;;;;
"""Jony""";6;;;;;;
"""Klodian""";6;;;;;;
"""Mate""";6;;;;;;
"""Matjaz""";6;;;;;;
"""Mikkel""";6;;;;;;
"""Mohamed-Rayan""";6;;;;;;
"""Nello""";6;;;;;;
"""Rabeh""";6;;;;;;
"""Sabi""";6;;;;;;
"""Sai""";6;;;;;;
"""Sheik""";6;;;;;;
"""Timeo""";6;;;;;;
"""Yero""";6;;;;;;
"""Yonus""";6;;;;;;
"""Bahae""";5;;;;;;
"""Béni""";5;;;;;;
"""Birkan""";5;;;;;;
"""Bubacar""";5;;;;;;
"""Enki""";5;;;;;;
"""Epifanio""";5;;;;;;
"""Farshad""";5;;;;;;
"""Ferran""";5;;;;;;
"""Flávio""";5;;;;;;
"""Gökay""";5;;;;;;
"""Hermenegildo""";5;;;;;;
"""Hodaïfa""";5;;;;;;
"""Ildefonso""";5;;;;;;
"""Keyan""";5;;;;;;
"""Khamiss""";5;;;;;;
"""Kosuke""";5;;;;;;
"""Mahsun""";5;;;;;;
"""Mamane""";5;;;;;;
"""Marten""";5;;;;;;
"""Masaaki""";5;;;;;;
"""Ali""";2677;"""Amine""";677;"""Vincent""";2084;"""Willy""";620
"""Alexandre""";2469;"""Ali""";605;"""Rachid""";1791;"""Albert""";575
"""Lucien""";601;"""Kamil""";132;"""Adrian""";394;"""Brahim""";44
"""Pedro""";550;"""Mateo""";127;"""Jean-Luc""";363;"""Pietro""";39
"""Gheorghe""";456;"""Esteban""";110;"""Dirk""";300;"""Achille""";30
"""Fabian""";427;"""Jan""";102;"""Marcin""";281;"""George""";28
"""Sebastian""";426;"""Ahmet""";101;"""Marius""";281;"""Hammadi""";28
"""Boris""";301;"""Michel""";77;"""Ionut""";189;"""Adolf""";17
"""Andreas""";275;"""Manuel""";69;"""Stephen""";174;"""Antonios""";15
"""Yahya""";265;"""Grégory""";65;"""Kadir""";165;"""Theodoor""";15
"""Lahcen""";218;"""Melvin""";54;"""Miloud""";132;"""Abel""";11
"""Badr""";214;"""Vadim""";54;"""Hassane""";130;"""Alfonso""";11
"""Gaël""";211;"""Giuseppe""";53;"""Alejandro""";129;"""Cornelis""";11
"""Muhammed""";174;"""Aleksander""";42;"""Ousmane""";105;"""Karoly""";9
"""Sofian""";170;"""Tobias""";41;"""Gary""";100;"""Veli""";9
"""Hendrik""";169;"""Wail""";41;"""Stéphan""";100;"""Abdelouahed""";8
"""Jesus""";162;"""Abdelilah""";39;"""Harold""";96;"""Eugenio""";8
"""Musa""";157;"""Kévin""";38;"""Ian""";93;"""Ludwig""";8
"""Karol""";155;"""Natan""";38;"""Ben""";92;"""Marie""";8
"""Leo""";155;"""Souhaib""";38;"""Jordan""";92;"""Michail""";8
