First name;Number;First name (< 18);Number of carriers (< 18);First name (18-64);Number of carriers (18-64);First name (65+);Number of carriers (65+)
"""Romano""";26;"""Tariq""";7;"""Predrag""";16;;
"""Tomás""";26;"""Tomy""";7;"""Samson""";16;;
"""Bouchta""";25;"""Yuma""";7;"""Yaya""";16;;
"""Dmitry""";25;"""Achrafe""";6;"""Zoltán""";16;;
"""Theodor""";25;"""Berk""";6;"""Gaspar""";15;;
"""Bedri""";24;"""Dieudonné""";6;"""Laaziz""";15;;
"""Berkant""";24;"""Dimitry""";6;"""Leonid""";15;;
"""Fehmi""";24;"""Fahed""";6;"""Niko""";15;;
"""Walther""";24;"""Irfan""";6;"""Abdoullah""";14;;
"""Aboubakar""";23;"""Jackson""";6;"""Andranik""";14;;
"""Heinz""";22;"""Rubén""";6;"""Tevfik""";14;;
"""Alae""";21;"""Vu""";6;"""Ernst""";13;;
"""Jos""";21;"""Ádám""";5;"""Juliano""";13;;
"""Silvano""";21;"""Anders""";5;"""Medhi""";13;;
"""Aurelien""";20;"""Bao""";5;"""Slobodan""";13;;
"""Doru""";20;"""Boran""";5;"""Usman""";13;;
"""Hamit""";20;"""Chemsedine""";5;"""Abdelmoula""";12;;
"""Jocelyn""";20;"""Davis""";5;"""Amarouch""";12;;
"""Lorenz""";20;"""Divin""";5;"""Armin""";12;;
"""Mamadu""";20;"""Doryan""";5;"""Atila""";12;;
"""Rogerio""";20;"""Erol""";5;"""Darko""";12;;
"""Andranik""";19;"""Gentrit""";5;"""Guerric""";12;;
"""Dimitry""";19;"""Hirwa""";5;"""Jean-Emmanuel""";12;;
"""Fotios""";19;"""Ignas""";5;"""Kashif""";12;;
"""Faustino""";18;"""Mohamed-Yassine""";5;"""Alexandro""";11;;
"""Isam""";18;"""Navid""";5;"""Azhar""";11;;
"""Nicu""";18;"""Plamedi""";5;"""Elyas""";11;;
"""Abdennabi""";17;"""Shoaib""";5;"""Jeff""";11;;
"""Caleb""";17;"""Taoufiq""";5;"""Malick""";11;;
"""Cyriel""";17;"""Timmy""";5;"""Mir""";11;;
"""Kwame""";17;"""Zion""";5;"""Rexhep""";11;;
"""Yalçin""";17;;;"""Alix""";10;;
"""Yoan""";17;;;"""Allen""";10;;
"""Agon""";16;;;"""Arash""";10;;
"""Faton""";16;;;"""Cyprien""";10;;
"""Séraphin""";16;;;"""Kaan""";10;;
"""Virgilio""";16;;;"""Lodewijk""";10;;
"""Flamur""";15;;;"""Rouchdi""";10;;
"""Hisham""";15;;;"""Sunil""";10;;
"""Juliaan""";15;;;"""Yacoub""";10;;
"""Lutfi""";15;;;"""Abidin""";9;;
"""Torsten""";15;;;"""Chun""";9;;
"""Yani""";15;;;"""Corneille""";9;;
"""Abdelkebir""";14;;;"""Dimosthenis""";9;;
"""Cevat""";14;;;"""Heinz""";9;;
"""Maksym""";14;;;"""Mohssen""";9;;
"""Serdal""";14;;;"""Redwan""";9;;
"""Edson""";13;;;"""Umar""";9;;
"""Eliseo""";13;;;"""Vijay""";9;;
"""Kashif""";13;;;"""Alija""";8;;
"""Kiran""";13;;;"""Amilcar""";8;;
"""Nadeem""";13;;;"""Beyzat""";8;;
"""Narcis""";13;;;"""Boni""";8;;
"""Praveen""";13;;;"""Clifford""";8;;
"""Rexhep""";13;;;"""Dang""";8;;
"""Younis""";13;;;"""Gholam""";8;;
"""Anatoli""";12;;;"""Iain""";8;;
"""Grant""";12;;;"""Nebojsa""";8;;
"""Hammad""";12;;;"""Noah""";8;;
"""Ives""";12;;;"""Phillip""";8;;
"""Mugurel""";12;;;"""Stig""";8;;
"""Nguyen""";12;;;"""Tihomir""";8;;
"""Taulant""";12;;;"""Abdeljelil""";7;;
"""Fábio""";11;;;"""Dieudonne""";7;;
"""Lothar""";11;;;"""Haluk""";7;;
"""Lyam""";11;;;"""Heikki""";7;;
"""Mabrouk""";11;;;"""Helge""";7;;
"""Saqib""";11;;;"""Labinot""";7;;
"""Selcuk""";11;;;"""Liévin""";7;;
"""Theodorus""";11;;;"""Manish""";7;;
"""Abdelhamed""";10;;;"""Muhterem""";7;;
"""Azize""";10;;;"""Radek""";7;;
"""Belarmino""";10;;;"""Ricky""";7;;
"""Harris""";10;;;"""Vitaly""";7;;
"""Kamuran""";10;;;"""Abedin""";6;;
"""Nikitas""";10;;;"""Arnoud""";6;;
"""Rabi""";10;;;"""Bader""";6;;
"""Radovan""";10;;;"""Bahman""";6;;
"""Severino""";10;;;"""Cameron""";6;;
"""Ala""";9;;;"""Fatjon""";6;;
"""Bela""";9;;;"""Hady""";6;;
"""Boyan""";9;;;"""Héritier""";6;;
"""Chadli""";9;;;"""Hotman""";6;;
"""Chan""";9;;;"""Housni""";6;;
"""Elohim""";9;;;"""Jean-Patrick""";6;;
"""Freek""";9;;;"""Karoly""";6;;
"""Gökan""";9;;;"""Krisztian""";6;;
"""Jamale""";9;;;"""Maamar""";6;;
"""Mücahit""";9;;;"""Nesat""";6;;
"""Pouya""";9;;;"""Oswald""";6;;
"""Saeid""";9;;;"""Rached""";6;;
"""Tancrède""";9;;;"""Saif""";6;;
"""Benaouda""";8;;;"""Abdelwaheb""";5;;
"""Bilâl""";8;;;"""Abdessamie""";5;;
"""Boni""";8;;;"""Abdessatar""";5;;
"""Dincher""";8;;;"""Akli""";5;;
"""Fode""";8;;;"""Asdin""";5;;
"""Gica""";8;;;"""Bailo""";5;;
"""Haki""";8;;;"""Boumediène""";5;;
"""Ismaïla""";8;;;"""Celalettin""";5;;
"""Melek""";8;;;"""Fauzi""";5;;
"""Namik""";8;;;"""Gürkan""";5;;
"""Rouslan""";8;;;"""Ildefonso""";5;;
"""Sergen""";8;;;"""Jean-Sebastien""";5;;
"""Shahram""";8;;;"""Jelmer""";5;;
"""Theophiel""";8;;;"""Kangni""";5;;
"""Vinod""";8;;;"""Kosta""";5;;
"""Avinash""";7;;;"""Naseer""";5;;
"""Casimiro""";7;;;"""Özer""";5;;
"""Custodio""";7;;;"""Pius""";5;;
"""Hachemi""";7;;;"""Sandy""";5;;
"""Iñigo""";7;;;"""Silvian""";5;;
"""Kaspar""";7;;;"""Thibauld""";5;;
"""Khemaïs""";7;;;"""Tor""";5;;
"""Nasrallah""";7;;;;;;
"""Niculae""";7;;;;;;
"""Rowan""";7;;;;;;
"""Slaheddine""";7;;;;;;
"""Tam""";7;;;;;;
"""Tuur""";7;;;;;;
"""Arié""";6;;;;;;
"""Hashim""";6;;;;;;
"""Juul""";6;;;;;;
"""Markku""";6;;;;;;
"""Massoud""";6;;;;;;
"""Montassir""";6;;;;;;
"""Naby""";6;;;;;;
"""Nahuel""";6;;;;;;
"""Onofrio""";6;;;;;;
"""Pim""";6;;;;;;
"""Rahhal""";6;;;;;;
"""Ritchy""";6;;;;;;
"""Romulo""";6;;;;;;
"""Shinichi""";6;;;;;;
"""Sophian""";6;;;;;;
"""Tetsuo""";6;;;;;;
"""Tian""";6;;;;;;
"""Toshiaki""";6;;;;;;
"""Venant""";6;;;;;;
"""Victorio""";6;;;;;;
"""Abdel-Aziz""";5;;;;;;
"""Abdel-Hak""";5;;;;;;
"""Abdessatar""";5;;;;;;
"""Abdool""";5;;;;;;
"""Ada""";5;;;;;;
"""Alaettin""";5;;;;;;
"""Apollinaire""";5;;;;;;
"""Bing""";5;;;;;;
"""Boufelja""";5;;;;;;
"""Cristophe""";5;;;;;;
"""Cyriac""";5;;;;;;
"""Divin""";5;;;;;;
"""Eraldo""";5;;;;;;
"""Falk""";5;;;;;;
"""Ferruh""";5;;;;;;
"""Hyacinthe""";5;;;;;;
"""Josua""";5;;;;;;
"""Kazuma""";5;;;;;;
"""Kélian""";5;;;;;;
"""Lahcène""";5;;;;;;
"""Lester""";5;;;;;;
"""Maddox""";5;;;;;;
"""Massamba""";5;;;;;;
"""Mouhssin""";5;;;;;;
"""Polyvios""";5;;;;;;
"""Prodromos""";5;;;;;;
"""Robson""";5;;;;;;
"""Sher""";5;;;;;;
"""Yosef""";5;;;;;;
"""Younoussa""";5;;;;;;
"""Zidane""";5;;;;;;
"""Kudret""";5;;;;;;
"""Largo""";5;;;;;;
"""Love""";5;;;;;;
"""Márcio""";5;;;;;;
"""Martinho""";5;;;;;;
"""Mesud""";5;;;;;;
"""Miltiadis""";5;;;;;;
"""Nikolaï""";5;;;;;;
"""Olivér""";5;;;;;;
"""Ould""";5;;;;;;
"""Pontus""";5;;;;;;
"""Saif-Eddine""";5;;;;;;
"""Saulo""";5;;;;;;
"""Secundino""";5;;;;;;
"""Solaiman""";5;;;;;;
"""Tengiz""";5;;;;;;
"""Tran""";5;;;;;;
"""Tsutomu""";5;;;;;;
"""Vidal""";5;;;;;;
"""Yoshinori""";5;;;;;;
"""Yve""";5;;;;;;
"""Ze""";5;;;;;;
"""Patrick""";3517;"""Zakaria""";776;"""Ahmed""";2818;"""Henri""";916
"""Christian""";3183;"""Thomas""";759;"""Eric""";2327;"""Ahmed""";771
"""André""";2930;"""Lucas""";732;"""Frédéric""";2215;"""François""";771
"""Mehdi""";1573;"""Jonathan""";365;"""Khalid""";1082;"""Julien""";197
"""Pascal""";1474;"""Benjamin""";331;"""Emmanuel""";867;"""Jean-Claude""";168
"""Soufiane""";869;"""Axel""";181;"""Nabil""";537;"""Nicolas""";71
"""Jérémy""";525;"""Kacper""";122;"""Jean-Marc""";340;"""Hector""";36
"""Gérard""";523;"""Ruben""";122;"""Bertrand""";336;"""Andreas""";35
"""Ismaïl""";432;"""Anouar""";105;"""Edouard""";287;"""Salah""";29
"""M'hamed""";422;"""Noam""";101;"""Erik""";277;"""Alberto""";27
"""Lorenzo""";386;"""Selim""";94;"""Marian""";249;"""Josephus""";24
"""Amadou""";326;"""Mattéo""";84;"""Sebastian""";207;"""Haddou""";19
"""Augustin""";273;"""Brian""";68;"""Jérémie""";172;"""Boris""";15
"""Sergio""";268;"""Adnan""";66;"""Van""";169;"""Ignace""";15
"""Jean-Philippe""";263;"""Yunus""";65;"""Konstantinos""";163;"""Bayram""";14
"""Ionut""";243;"""Evan""";60;"""Geert""";148;"""Marco""";13
"""Yann""";229;"""Halil""";56;"""Ilyas""";137;"""Franco""";12
"""Adem""";202;"""Dalil""";51;"""Kévin""";123;"""Mevlüt""";11
"""Danny""";162;"""Zaïd""";40;"""Anton""";96;"""Edgar""";8
"""Kacper""";128;"""Matis""";32;"""Sam""";76;"""Abdelmalek""";6
"""Santiago""";120;"""Moad""";30;"""Kurt""";71;"""Eduardus""";6
"""Lars""";118;"""Nasser""";30;"""Abdelkhalek""";70;"""Emil""";6
"""Sidi""";117;"""Antony""";29;"""Nourdine""";69;"""Filip""";6
"""Jalal""";111;"""Pietro""";28;"""Mihail""";64;"""Milan""";6
"""Jacob""";110;"""Elisei""";27;"""Bekim""";63;"""Petros""";6
"""Brieuc""";108;"""Mikolaj""";27;"""Cornel""";62;"""Siméon""";6
"""Andres""";104;"""Michele""";26;"""Maxence""";61;"""Adnan""";5
"""César""";95;"""Lewis""";24;"""Emanuele""";56;"""Gonzalo""";5
"""Iulian""";92;"""Filipe""";23;"""Chafik""";54;"""Justin""";5
"""Flavio""";91;"""Najim""";23;"""Mansour""";54;"""Léonce""";5
"""Recep""";89;"""Aziz""";22;"""Glenn""";53;"""Pavlos""";5
"""Ismet""";88;"""Gabin""";22;"""Marwan""";53;"""Rafaël""";5
"""Tobias""";87;"""Matt""";22;"""Blaise""";52;"""Theofiel""";5
"""Sergiu""";79;"""Kasper""";20;"""Moustafa""";49;;
"""Wael""";77;"""Alin""";19;"""Per""";48;;
"""Abdelkhalek""";76;"""Alix""";19;"""Raffaele""";48;;
"""Abdelmalik""";74;"""Mouhamadou""";19;"""Constantinos""";46;;
"""Christiaan""";71;"""Ilyan""";18;"""Yasar""";45;;
"""Theodoros""";71;"""Malek""";18;"""Faysal""";44;;
"""Ziad""";71;"""Oualid""";18;"""Hatim""";44;;
"""Moustafa""";70;"""Willem""";18;"""Yoann""";44;;
"""Glenn""";67;"""Lucian""";17;"""Suleyman""";42;;
"""Dennis""";65;"""Aram""";16;"""Nuri""";41;;
"""Lieven""";64;"""Gustav""";16;"""Frederick""";40;;
"""Daniël""";63;"""Mohsine""";16;"""Rida""";40;;
"""Jim""";61;"""Dogan""";15;"""Constant""";38;;
"""Riyad""";58;"""Arlind""";14;"""Jean-Sébastien""";35;;
"""Burhan""";57;"""Denzel""";14;"""Romeo""";35;;
"""Erick""";57;"""Enrico""";14;"""Sezgin""";35;;
"""Lodewijk""";57;"""Ernesto""";14;"""Traian""";35;;
"""Ilian""";54;"""Alfred""";13;"""Théo""";33;;
"""Waïl""";54;"""Armin""";13;"""Athanassios""";32;;
"""Sylwester""";52;"""Mattis""";13;"""Nevzat""";31;;
"""Zdzislaw""";51;"""Timour""";13;"""Abdeslem""";30;;
"""Ammar""";50;"""Vasco""";13;"""Alexey""";30;;
"""Ronan""";47;"""Roy""";12;"""Hristo""";28;;
"""Mickael""";46;"""Abdelwahid""";11;"""Abdilkadir""";27;;
"""Batuhan""";43;"""Kassim""";11;"""Malek""";26;;
"""Abdelmounaim""";42;"""Moaad""";11;"""Abdelwahab""";25;;
"""Aris""";42;"""Néo""";11;"""Bernhard""";25;;
"""Hamadi""";42;"""Ramadan""";11;"""Cristinel""";25;;
"""Josse""";42;"""Ridvan""";11;"""Fausto""";25;;
"""Miroslav""";42;"""Rosario""";11;"""Franky""";25;;
"""Yazid""";42;"""Wahib""";11;"""Ludo""";25;;
"""Moad""";41;"""Amedeo""";10;"""Terry""";25;;
"""Corneille""";39;"""Kelvin""";10;"""Pavlos""";24;;
"""Skender""";39;"""Louison""";10;"""Abdelfettah""";23;;
"""Olaf""";38;"""Raymond""";10;"""Michelangelo""";23;;
"""Necati""";37;"""Tibo""";10;"""Vinh""";23;;
"""Vladislav""";35;"""Isac""";9;"""Herbert""";21;;
"""Haytam""";34;"""Kamiel""";9;"""Mohssine""";21;;
"""Özcan""";33;"""Titus""";9;"""Charles-Henri""";20;;
"""Herbert""";32;"""Avram""";8;"""Salah-Eddine""";20;;
"""Alix""";30;"""Mohssine""";8;"""Arsène""";18;;
"""Elijah""";30;"""Radoslaw""";8;"""Ebrahim""";18;;
"""Timéo""";30;"""Ufuk""";8;"""Milos""";18;;
"""Basil""";29;"""Abdelnour""";7;"""Ramiz""";18;;
"""Basri""";29;"""Abdelrahim""";7;"""Rasim""";18;;
"""Aloys""";28;"""Connor""";7;"""Cristobal""";17;;
"""Salahdin""";28;"""Ignacy""";7;"""Nenad""";17;;
"""Roel""";27;"""Nadhir""";7;"""Demir""";16;;
"""Gani""";26;"""Saïfeddine""";7;"""Levon""";16;;
"""Panayotis""";26;"""Silvio""";7;"""Nicolai""";16;;
"""Zain""";26;"""Valérian""";7;"""Svetoslav""";16;;
"""Mortada""";5;;;;;;
"""Mugisha""";5;;;;;;
"""Selahaddin""";5;;;;;;
"""Shu""";5;;;;;;
"""Uzair""";5;;;;;;
"""Varun""";5;;;;;;
"""Wisam""";5;;;;;;
"""Olsi""";5;;;;;;
"""Pierangelo""";5;;;;;;
"""Rajan""";5;;;;;;
"""Shalva""";5;;;;;;
"""Sherwin""";5;;;;;;
"""Smaël""";5;;;;;;
"""Smain""";5;;;;;;
"""Stéfan""";5;;;;;;
"""Tomé""";5;;;;;;
"""Tore""";5;;;;;;
"""Yehuda""";5;;;;;;
"""Yoël""";5;;;;;;
"""Yun""";5;;;;;;
"""Zaky""";5;;;;;;
"""Thomas""";2684;"""Maxime""";723;"""Christophe""";2195;"""Louis""";666
"""Luc""";1724;"""Rayane""";425;"""Michaël""";1340;"""Antonio""";246
"""Simon""";1216;"""Nabil""";265;"""Jan""";727;"""Driss""";108
"""Jean-Pierre""";1075;"""Achraf""";239;"""Brahim""";690;"""William""";93
"""Luis""";876;"""Amin""";184;"""Constantin""";538;"""Luigi""";72
"""Brahim""";829;"""Félix""";176;"""Marco""";530;"""Angelo""";67
"""Fouad""";630;"""Clément""";140;"""Soufiane""";425;"""Carlos""";49
"""Krzysztof""";504;"""Muhammed""";120;"""Jean-Paul""";329;"""Ibrahim""";34
"""Nassim""";407;"""Damian""";98;"""Florian""";268;"""Johannes""";26
"""Geoffrey""";393;"""Brahim""";95;"""Jean-Philippe""";256;"""Christiaan""";24
"""Frank""";389;"""Hadrien""";95;"""Ismaïl""";254;"""Edward""";24
"""Fabio""";357;"""Stefan""";88;"""Sergio""";222;"""Aldo""";21
"""Jean-Marc""";354;"""Elliot""";87;"""Hubert""";220;"""Hammou""";21
"""Cristian""";318;"""Grégoire""";83;"""Javier""";203;"""Mathieu""";19
"""Michal""";264;"""Issa""";65;"""Khalil""";165;"""Wolfgang""";15
"""Abdelhafid""";246;"""Abderrahman""";61;"""Yann""";152;"""Heinz""";13
"""Tristan""";236;"""Safwan""";59;"""Hafid""";145;"""Sellam""";13
"""Adnan""";216;"""Murat""";54;"""Nicholas""";132;"""Adem""";11
"""Stefano""";207;"""Brieuc""";52;"""Mokhtar""";125;"""Janos""";11
"""Cedric""";200;"""Kamal""";51;"""Régis""";122;"""Paulus""";11
"""Jean-Baptiste""";192;"""Fouad""";49;"""Moustapha""";115;"""Edwin""";10
"""Ferdinand""";177;"""Serkan""";44;"""Abdelghani""";107;"""Celal""";9
"""Timothy""";166;"""Iliass""";40;"""Boubacar""";98;"""Athanassios""";8
"""Rodrigo""";164;"""Moustapha""";40;"""Alvaro""";97;"""Carolus""";8
"""Orhan""";162;"""Eduardo""";39;"""Pierre-Yves""";96;"""Gheorghe""";8
"""Rudi""";158;"""Houdayfa""";38;"""Matteo""";94;"""Lars""";8
"""Taha""";150;"""Nordine""";37;"""Max""";90;"""Stephen""";8
"""Nils""";146;"""Yohan""";36;"""Camille""";87;"""Belgacem""";7
"""Rodolphe""";143;"""Mihai""";35;"""Yacine""";84;"""Ferenc""";7
"""Darius""";122;"""Renaud""";31;"""Ismet""";73;"""Bela""";6
"""Abel""";119;"""Musa""";30;"""Raoul""";71;"""Elio""";6
"""Youri""";109;"""Malo""";27;"""Adriano""";62;"""Sebastian""";6
"""Jean-Charles""";97;"""Tommaso""";25;"""Flavio""";57;"""Eliseo""";5
"""Constant""";90;"""Siméon""";23;"""Sükrü""";54;"""Michiel""";5
"""Ulysse""";88;"""Loukas""";22;"""Agim""";52;"""Ruben""";5
"""Aldo""";84;"""Stefano""";22;"""Orlando""";52;"""Zeki""";5
"""Mahdi""";79;"""Gustave""";20;"""Douglas""";49;;
"""Rafik""";79;"""Hugues""";20;"""M'hammed""";49;;
"""Wolfgang""";79;"""Lilian""";20;"""Ramadan""";49;;
